"AmazonIpad_name","AmazonIpad_url","AmazonIpad_Price","AmazonIpad_Review","AmazonIpad_Getitby"
"Apple iPad Air 2 MH1J2LL/A 9.7-Inch, 128GB (Gold)","https://www.amazon.com/Apple-iPad-MH1J2LL-9-7-Inch-128GB/dp/B00OTWQIZG/ref=sr_1_16/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-16&keywords=ipad","$ 366 50","4.6 out of 5 stars","Tue, Oct 23"
"Apple iPad 2 MC769LL/A - 16GB - 2nd Generation (Black) - Tablet with Skin (Certified Refurbished)","https://www.amazon.com/Apple-iPad-MC769LL-Generation-Refurbished/dp/B01NBAZWEJ/ref=sr_1_17/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-17&keywords=ipad","$ 79 99","3.6 out of 5 stars","Wed, Oct 24"
"Apple iPad Mini FD528LL/A - MD528LL/A (16GB, Wi-Fi, Black) (Certified Refurbished)","https://www.amazon.com/Apple-iPad-Mini-FD528LL-Refurbished/dp/B00M4L4JZK/ref=sr_1_18/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-18&keywords=ipad","$ 98 99","3.5 out of 5 stars","Wed, Oct 24"
"Apple Refurbished iPad Air 2 - 128GB - Gold (Certified Refurbished)","https://www.amazon.com/Apple-Refurbished-iPad-Air-Certified/dp/B07G3D7G89/ref=sr_1_19/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-19&keywords=ipad","$ 300 99","4.6 out of 5 stars","Tue, Oct 23"
"Apple iPad 4 16GB, 32GB, 64GB - Wifi, Black 4th Generation | Bundle Includes: Case, Tempered Glass, Stylus Pen, 1 Year Warranty (16, Black) (Certified Refurbished)","https://www.amazon.com/Apple-iPad-16GB-32GB-64GB/dp/B07FQ76ZHF/ref=sr_1_20/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-20&keywords=ipad","$ 178 94","4 out of 5 stars","Wed, Oct 24"
"Apple iPad 2 Tablet 16GB, 32GB, 64GB - Wifi, Black 2nd Generation | Bundle Includes: Case, Tempered Glass, Stylus Pen, 1 Year Warranty (16GB, Black) (Certified Refurbished)","https://www.amazon.com/Apple-iPad-Tablet-16GB-32GB/dp/B07FPQD1K8/ref=sr_1_21/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-21&keywords=ipad","$ 109 00","3 out of 5 stars","Wed, Oct 24"
"Apple iPad with Retina Display MD512LL/A 4th Generation (64GB, Wi-Fi, Black) (Certified Refurbished)","https://www.amazon.com/Apple-Display-Generation-Certified-Refurbished/dp/B00WSW4UJ0/ref=sr_1_22/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-22&keywords=ipad","$ 199 99","3.9 out of 5 stars","Wed, Oct 24"
"Apple iPad Pro 10.5-Inch 64GB Rose Gold (WiFi Only, Mid 2017) MQDY2LL/A","https://www.amazon.com/Apple-iPad-10-5-Inch-64GB-MQDY2LL/dp/B072V4HK9F/ref=sr_1_23/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-23&keywords=ipad","$ 589 00","4.7 out of 5 stars","Tue, Oct 23"
"Apple iPad 2-16GB - WiFi - Space Gray (Certified Refurbished)","https://www.amazon.com/Apple-iPad-2-16GB-Certified-Refurbished/dp/B07BQ6754F/ref=sr_1_24/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-24&keywords=ipad","$ 84 99","3.3 out of 5 stars","Wed, Oct 24"
"Apple iPad Air 9.7"" WiFi 16GB Tablet - Space Gray - MD785LL/A (Certified Refurbished)","https://www.amazon.com/Apple-iPad-WiFi-16GB-Tablet/dp/B07GLH6ZP3/ref=sr_1_25/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-25&keywords=ipad","$ 159 48","","Tue, Oct 23"
"Apple iPad 2 MC769LL/A Tablet ( iOS 7,16GB, WiFi) Black 2nd Generation - (Certified Refurbished)","https://www.amazon.com/Apple-MC769LL-Tablet-Black-Generation/dp/B073WRBH2N/ref=sr_1_26/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-26&keywords=ipad","$ 114 99","3.8 out of 5 stars","Tue, Oct 23"
