"AmazonIpad_name","AmazonIpad_url","AmazonIpad_Price","AmazonIpad_Review","AmazonIpad_Getitby"
"Apple iPad Air MD788LL/A (16GB, Wi-Fi, White with Silver) 1st Generation [Certified Pre-Owned] (Certified Refurbished)","https://www.amazon.com/Apple-Generation-Certified-Pre-Owned-Refurbished/dp/B07GZ74D72/ref=sr_1_154?s=pc&ie=UTF8&qid=1540116332&sr=1-154&keywords=ipad","$ 197 95","","Tue, Oct 23"
"Apple iPad Mini 16GB 7.9"" Touchscreen WiFi Bluetooth Dual Cameras iOS Tablet Black MD528LLA","https://www.amazon.com/Apple-Touchscreen-Bluetooth-Cameras-MD528LLA/dp/B01GKAN8HA/ref=sr_1_155?s=pc&ie=UTF8&qid=1540116332&sr=1-155&keywords=ipad","","3.6 out of 5 stars",""
"iPad Pro - 256GB, Wi-Fi, Space Gray - 12.9-inch Display MLOT2LL/A","https://www.amazon.com/iPad-Pro-12-9-inch-Display-MLOT2LL/dp/B077M6XXNM/ref=sr_1_156?s=pc&ie=UTF8&qid=1540116332&sr=1-156&keywords=ipad","$ 999 95","","Tue, Oct 23"
"Apple iPad (first generation) MB293LL/A Tablet (32GB, Wifi) (Certified Refurbished)","https://www.amazon.com/Apple-generation-MB293LL-Certified-Refurbished/dp/B01N3TS20U/ref=sr_1_157?s=pc&ie=UTF8&qid=1540116332&sr=1-157&keywords=ipad","$ 1,159 00","3 out of 5 stars","Tue, Oct 23"
"Apple iPad Pro 10.5 Inch 256GB, WiFi, 2017 Tablet with Saiborie $49.99 Value Accessories, Retina Display, A10X Fusion Chip, 12MP Photos, Touch ID, MIMO, iOS 11 (Space Gray)","https://www.amazon.com/Apple-Tablet-Saiborie-Accessories-Display/dp/B072K6NQGM/ref=sr_1_158?s=pc&ie=UTF8&qid=1540116332&sr=1-158&keywords=ipad","$ 1,013 00","",""
"Apple iPad 2018 9.7"" 32GB, Space Gray WiFi Only (Certified Refurbished)","https://www.amazon.com/Apple-iPad-Space-Certified-Refurbished/dp/B07D3DDJ4L/ref=sr_1_159?s=pc&ie=UTF8&qid=1540116332&sr=1-159&keywords=ipad","$ 329 00","5 out of 5 stars","Tue, Oct 23"
"iPad Pro 9.7-inch (32GB, Wi-Fi + Cellular, Space Gray) 2016 Model","https://www.amazon.com/9-7-inch-Wi-Fi-Cellular-Space-Model/dp/B01D3NXGGU/ref=sr_1_160?s=pc&ie=UTF8&qid=1540116332&sr=1-160&keywords=ipad","$ 549 00","3.7 out of 5 stars",""
"Apple iPad 2-2nd Generation - Bundle - $99 Value (Bundle Includes: Tempered Glass + 1 Year CPS Limited Warranty) (32GB, Black) (Certified Refurbished)","https://www.amazon.com/Apple-iPad-2-2nd-Generation-Refurbished/dp/B07GVPC2YL/ref=sr_1_161?s=pc&ie=UTF8&qid=1540116332&sr=1-161&keywords=ipad","$ 129 99","","Wed, Oct 24"
"Apple MH2N2LL/A iPad Air (2nd Generation) 64GB Wi-Fi + Cellular Tablet, Silver/White - (Certified Refurbished)","https://www.amazon.com/Apple-MH2N2LL-Generation-Cellular-Tablet/dp/B07F92BQ4K/ref=sr_1_162?s=pc&ie=UTF8&qid=1540116332&sr=1-162&keywords=ipad","$ 296 99","5 out of 5 stars","Wed, Oct 24"
"iPad 2 32 GB White BUNDLE: Comes with Case, Tempered Glass, Stylus Pen, Charger, 1 Year Warranty","https://www.amazon.com/iPad-32-GB-White-BUNDLE/dp/B07DWCVL4S/ref=sr_1_163?s=pc&ie=UTF8&qid=1540116332&sr=1-163&keywords=ipad","","5 out of 5 stars",""
"Apple iPad Air 2 MH182CL/A (64GB, Wi-Fi, Gold) NEWEST VERSION","https://www.amazon.com/Apple-MH182CL-Wi-Fi-NEWEST-VERSION/dp/B00V0YJSR6/ref=sr_1_164?s=pc&ie=UTF8&qid=1540116332&sr=1-164&keywords=ipad","","4.4 out of 5 stars",""
"Apple iPad Air 16GB 9.7"" WiFi + Cellular Unlocked Tablet - White with Silver (Certified Refurbished)","https://www.amazon.com/Apple-iPad-Cellular-Unlocked-Tablet/dp/B01433Q4RC/ref=sr_1_165?s=pc&ie=UTF8&qid=1540116332&sr=1-165&keywords=ipad","$ 289 95","3.7 out of 5 stars","Tue, Oct 23"
"Apple iPad mini 7.9"" WiFi Tablet 32GB 512MB - Black & Slate - MD529LL/A","https://www.amazon.com/Apple-iPad-mini-Tablet-512MB/dp/B01LXHWTK4/ref=sr_1_166?s=pc&ie=UTF8&qid=1540116332&sr=1-166&keywords=ipad","","3.7 out of 5 stars",""
"Apple iPad Pro 12.9-inch 2nd Generation (Mid 2017, 256GB, WiFi Only, Space Gray)","https://www.amazon.com/Apple-12-9-inch-Generation-256GB-Space/dp/B071K9GC3V/ref=sr_1_167?s=pc&ie=UTF8&qid=1540116332&sr=1-167&keywords=ipad","","4.5 out of 5 stars",""
"Apple iPad Air MD786LL/B Touchscreen Tablet (iOS 8, 1GB Memory, 32GB Hard Drive, Wi-Fi) Space Gray (Certified Refurbished)","https://www.amazon.com/Apple-MD786LL-Touchscreen-Certified-Refurbished/dp/B079NLJTV4/ref=sr_1_168?s=pc&ie=UTF8&qid=1540116332&sr=1-168&keywords=ipad","$ 199 69","",""
"Apple iPad 6th Generation 32GB Space Gray Wifi + 4G Certified Refurbished","https://www.amazon.com/Apple-Generation-Space-Certified-Refurbished/dp/B07GHYR1C9/ref=sr_1_169?s=pc&ie=UTF8&qid=1540116332&sr=1-169&keywords=ipad","$ 370 00","","Wed, Oct 24"
"Apple iPad Mini 2 Tablet - 32GB, Space Gray ME277LL/A - WiFi Only (Certified Refurbished)","https://www.amazon.com/Apple-iPad-Mini-Tablet-Refurbished/dp/B072MKPFRV/ref=sr_1_170?s=pc&ie=UTF8&qid=1540116332&sr=1-170&keywords=ipad","$ 239 95","5 out of 5 stars","Tue, Oct 23"
"[Sponsored]
TIRIN Kids Case for New iPad 9.7 2018/2017 - Light Weight Shock Proof Handle Friendly Convertible Stand Kids Case for Apple iPad 9.7 Inch(2018/2017) /iPad 5/iPad Pro 9.7/iPad Air 2/iPad Air, Blue","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg8_1?ie=UTF8&adId=A03136792N131TSYM2XNK&url=https%3A%2F%2Fwww.amazon.com%2FTIRIN-Kids-Case-iPad-2018%2Fdp%2FB07CWR938Z%2Fref%3Dsr_1_169_sspa%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116344%26sr%3D1-169-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116343&id=5833435590202869&widgetName=sp_atf_next","$ 8 99","",""
"[Sponsored]
LTROP iPad 2 3 4 Kids Case - Light Weight Shock Proof Handle Friendly Convertible Stand Kids Case with Bulit in Screen Protector for iPad 2, iPad 3rd Generation, iPad 4th Generation,Green","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg8_2?ie=UTF8&adId=A04665671LNZE9VETN526&url=https%3A%2F%2Fwww.amazon.com%2FLTROP-iPad-Kids-Case-Convertible%2Fdp%2FB07CZ84FB5%2Fref%3Dsr_1_170_sspa%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116344%26sr%3D1-170-spons%26keywords%3Dipad%26psc%3D1%26smid%3DA21UZXT6DDX6TN&qualifier=1540116343&id=5833435590202869&widgetName=sp_atf_next","$ 15 99","3.9 out of 5 stars",""
"iPad Pro MLN02CL/A (MLN02LL/A) 9.7-inch (256GB, Wi-Fi, Silver) 2016 Model","https://www.amazon.com/MLN02CL-MLN02LL-9-7-inch-256GB-Silver/dp/B01DYKKQ0Q/ref=sr_1_171?s=pc&ie=UTF8&qid=1540116344&sr=1-171&keywords=ipad","$ 670 00","5 out of 5 stars",""
"Apple iPad Pro 12.9-inch 2nd Generation (Mid 2017, 256GB, Wi-Fi + Cellular, Space Gray) MPA42LL/A","https://www.amazon.com/Apple-12-9-inch-Generation-Cellular-MPA42LL/dp/B071K9G95X/ref=sr_1_172?s=pc&ie=UTF8&qid=1540116344&sr=1-172&keywords=ipad","","5 out of 5 stars",""
"Apple iPad Mini 4 MK8E2LL/A (128GB, Wi-Fi + Cellular, Silver) Newest Version","https://www.amazon.com/Apple-MK8E2LL-Cellular-Silver-Version/dp/B018F5AX1M/ref=sr_1_173?s=pc&ie=UTF8&qid=1540116344&sr=1-173&keywords=ipad","","4.6 out of 5 stars",""
"Apple iPad mini 4 (32GB, Wi-Fi + Cellular, Space Gray) (Certified Refurbished)","https://www.amazon.com/Apple-Wi-Fi-Cellular-Certified-Refurbished/dp/B07FKD3H9Q/ref=sr_1_174?s=pc&ie=UTF8&qid=1540116344&sr=1-174&keywords=ipad","$ 449 76","","Tue, Oct 23"
"Apple iPad (5th Generation) Wi-Fi, 128GB - Space Gray (Certified Refurbished)","https://www.amazon.com/Apple-iPad-Generation-Wi-Fi-128GB/dp/B07BKBB4N5/ref=sr_1_175?s=pc&ie=UTF8&qid=1540116344&sr=1-175&keywords=ipad","$ 409 77","3.1 out of 5 stars",""
"Apple iPad Air 2 16GB Cellular Space Gray (Certified Refurbished)","https://www.amazon.com/Apple-Cellular-Space-Certified-Refurbished/dp/B079J6R384/ref=sr_1_176?s=pc&ie=UTF8&qid=1540116344&sr=1-176&keywords=ipad","$ 224 89","","Tue, Oct 23"
"APPLE MQEY2LL/A iPad Pro with Wi-Fi + Cellular 64GB, 10.5"", Space Grey","https://www.amazon.com/APPLE-MQEY2LL-Wi-Fi-Cellular-Space/dp/B0773TKZCK/ref=sr_1_177?s=pc&ie=UTF8&qid=1540116344&sr=1-177&keywords=ipad","","3.6 out of 5 stars",""
"Apple iPad mini 4 64GB (Wi-Fi) 7.9-Inch iOS Tablet - Gold (Certified Refurbished)","https://www.amazon.com/Apple-iPad-Wi-Fi-7-9-Inch-Tablet/dp/B01HU76OFK/ref=sr_1_178?s=pc&ie=UTF8&qid=1540116344&sr=1-178&keywords=ipad","$ 289 95","3.7 out of 5 stars",""
"iPad Pro MLMN2CL/A (MLMN2LL/A) 9.7-inch (32GB, Wi-Fi, Space Gray) 2016 Model","https://www.amazon.com/MLMN2CL-MLMN2LL-9-7-inch-Wi-Fi-Space/dp/B01DYKKLFQ/ref=sr_1_179?s=pc&ie=UTF8&qid=1540116344&sr=1-179&keywords=ipad","$ 450 00","5 out of 5 stars",""
"Apple iPad with WiFi, 128GB, Gold (2017 Model)","https://www.amazon.com/Apple-iPad-WiFi-128GB-Model/dp/B075SGKF8K/ref=sr_1_180?s=pc&ie=UTF8&qid=1540116344&sr=1-180&keywords=ipad","$ 404 66","4 out of 5 stars","Tue, Oct 23"
"Apple 10.5-inch iPad Pro (Wi-Fi, 512GB) - Silver MPGJ2LL/A","https://www.amazon.com/Apple-10-5-inch-iPad-Wi-Fi-512GB/dp/B072V53QHF/ref=sr_1_181?s=pc&ie=UTF8&qid=1540116344&sr=1-181&keywords=ipad","$ 899 00","5 out of 5 stars",""
"APPLE MP6H2LL/A iPad Pro with Wi-Fi 256GB, 12.9"", Silver","https://www.amazon.com/APPLE-MP6H2LL-Wi-Fi-256GB-Silver/dp/B074JF2ZDY/ref=sr_1_182?s=pc&ie=UTF8&qid=1540116344&sr=1-182&keywords=ipad","","5 out of 5 stars",""
"Apple iPad Air 2 MNW32LL/A (32GB, Wifi, Cellular Factory Unlocked, Gold)","https://www.amazon.com/Apple-MNW32LL-Cellular-Factory-Unlocked/dp/B01LZBOB98/ref=sr_1_183?s=pc&ie=UTF8&qid=1540116344&sr=1-183&keywords=ipad","$ 542 39","5 out of 5 stars","Wed, Oct 24"
"Apple ML2N2LL/A iPad Pro 12.9"" Wi-Fi Cellular 256GB, Gold","https://www.amazon.com/Apple-ML2N2LL-Wi-Fi-Cellular-256GB/dp/B01HB5RBVM/ref=sr_1_184?s=pc&ie=UTF8&qid=1540116344&sr=1-184&keywords=ipad","$ 1,249 99","5 out of 5 stars",""
"Apple iPad 5th Generation 32GB WiFi and Verizon Cellular - Gold","https://www.amazon.com/Apple-iPad-Generation-Verizon-Cellular/dp/B07D3D3GL9/ref=sr_1_185?s=pc&ie=UTF8&qid=1540116344&sr=1-185&keywords=ipad","","",""
"Apple iPad with Retina Display MD515LL/A 4th Generation (64GB,Wi-Fi,White) (Certified Refurbished)","https://www.amazon.com/Apple-MD515LL-Generation-Certified-Refurbished/dp/B00X6CO0YQ/ref=sr_1_186?s=pc&ie=UTF8&qid=1540116344&sr=1-186&keywords=ipad","$ 239 95","3.5 out of 5 stars","Tue, Oct 23"
"Apple iPad Air 2 9.7"" 64GB Cellular Unlocked + WiFi Tablet - Space Gray / Black - MH2M2LLAUS-cr (Certified Refurbished)","https://www.amazon.com/Apple-iPad-Cellular-Unlocked-Tablet/dp/B07GSHRJ2C/ref=sr_1_187?s=pc&ie=UTF8&qid=1540116344&sr=1-187&keywords=ipad","","",""
"Apple iPad Pro (128GB, 4G, Gold) 9.7"" Tablet (Certified Refurbished)","https://www.amazon.com/Apple-128GB-Tablet-Certified-Refurbished/dp/B078Y9BT8R/ref=sr_1_188?s=pc&ie=UTF8&qid=1540116344&sr=1-188&keywords=ipad","$ 549 77","5 out of 5 stars",""
"Apple iPad Air MF529LL/A (32GB, Wi-Fi + at&T, White with Silver) (Certified Refurbished)","https://www.amazon.com/Apple-MF529LL-Silver-Certified-Refurbished/dp/B00V8STWY8/ref=sr_1_189?s=pc&ie=UTF8&qid=1540116344&sr=1-189&keywords=ipad","$ 289 77","2.7 out of 5 stars","Tue, Oct 23"
"Apple iPad Pro (128GB, Wi-Fi, Cellular, Gold) 12.9"" Tablet","https://www.amazon.com/Apple-128GB-Wi-Fi-Cellular-Tablet/dp/B017V7O8YS/ref=sr_1_190?s=pc&ie=UTF8&qid=1540116344&sr=1-190&keywords=ipad","$ 1,199 11","3.8 out of 5 stars",""
"2015 Apple iPad Pro 12.9-inch Tablet Digitizer Pencil Not Included (128GB, Wi-Fi Only, Space Gray)","https://www.amazon.com/Apple-12-9-inch-Tablet-Digitizer-Included/dp/B01884ENM0/ref=sr_1_191?s=pc&ie=UTF8&qid=1540116344&sr=1-191&keywords=ipad","","3.3 out of 5 stars",""
"Latest Model Apple iPad Pro 9.7"" Multi-Touch Retina Display, 128GB, WiFi + 4G LTE Cellular, A9X Chip, Bluetooth, 12MP iSight Camera, Smart Connector, Gold","https://www.amazon.com/Apple-Multi-Touch-Cellular-Bluetooth-Connector/dp/B07BF7STH3/ref=sr_1_192?s=pc&ie=UTF8&qid=1540116344&sr=1-192&keywords=ipad","","4.6 out of 5 stars",""
"Apple iPad Air MD785LL/A (16GB, Wi-FI, Black with Space Gray) 1st Generation [Certified Pre-Owned] (Certified Refurbished)","https://www.amazon.com/Apple-Generation-Certified-Pre-Owned-Refurbished/dp/B07GL6TRBC/ref=sr_1_193?s=pc&ie=UTF8&qid=1540116344&sr=1-193&keywords=ipad","$ 159 95","","Tue, Oct 23"
"Apple iPad 3 MD367LL/A 32GB Wifi + 4G Unlocked 9.7"",Black(Certified Refurbished)","https://www.amazon.com/Apple-MD367LL-Unlocked-Certified-Refurbished/dp/B077BNTBMK/ref=sr_1_194?s=pc&ie=UTF8&qid=1540116344&sr=1-194&keywords=ipad","$ 189 00","3.6 out of 5 stars",""
"[Sponsored]
LTROP iPad 2 3 4 Kids Case - Light Weight Shock Proof Handle Friendly Convertible Stand Kids Case with Bulit in Screen Protector for iPad 2, iPad 3rd Generation, iPad 4th Generation,Black","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg9_1?ie=UTF8&adId=A04589313PQ4OZ6E0E0KS&url=https%3A%2F%2Fwww.amazon.com%2FLTROP-iPad-Kids-Case-Convertible%2Fdp%2FB07CXRB35X%2Fref%3Dsr_1_193_sspa%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116356%26sr%3D1-193-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116355&id=7583189941653397&widgetName=sp_atf_next","$ 15 99","3.9 out of 5 stars",""
"[Sponsored]
Bolete iPad Pro 10.5 Inch 2017 Kids Case - Kiddie Toddler Shock Proof Light Weight Super Protection Handle Stand Cover for Apple iPad Pro 10.5 inch (2017 Model) (Green)","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg9_2?ie=UTF8&adId=A0321577Z6AGBZOKNFHA&url=https%3A%2F%2Fwww.amazon.com%2FBolete-iPad-10-5-Inch-2017%2Fdp%2FB07413S92Z%2Fref%3Dsr_1_194_sspa%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116356%26sr%3D1-194-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116355&id=7583189941653397&widgetName=sp_atf_next","$ 17 99","5 out of 5 stars",""
"Apple ipad air 2 64GB Cellular Gray 4G (Certified Refurbished)","https://www.amazon.com/Apple-ipad-Cellular-Certified-Refurbished/dp/B07F3NPPX4/ref=sr_1_195?s=pc&ie=UTF8&qid=1540116356&sr=1-195&keywords=ipad","$ 369 95","",""
"iPad Pro MLMY2LL/A 9.7-inch (256GB, Wi-Fi, Space Gray) 2016 Model","https://www.amazon.com/MLMY2LL-9-7-inch-256GB-Wi-Fi-Space/dp/B01DYKKOQC/ref=sr_1_196?s=pc&ie=UTF8&qid=1540116356&sr=1-196&keywords=ipad","$ 659 00","3.9 out of 5 stars","Tue, Oct 23"
"Apple iPad mini MD529LL/A Wifi Wi-Fi 64GB, White (Certified Refurbished)","https://www.amazon.com/Apple-MD529LL-Wi-Fi-Certified-Refurbished/dp/B012X1KNNW/ref=sr_1_197?s=pc&ie=UTF8&qid=1540116356&sr=1-197&keywords=ipad","","4.5 out of 5 stars",""
"Apple iPad Pro 2 12.9"" (2017) 64GB, Wi-Fi - Space Gray (Certified Refurbished)","https://www.amazon.com/Apple-iPad-12-9-64GB-Wi-Fi/dp/B07BCNHCTY/ref=sr_1_198?s=pc&ie=UTF8&qid=1540116356&sr=1-198&keywords=ipad","$ 649 99","3.9 out of 5 stars","Wed, Oct 24"
"iPad Pro 12.9"" 512GB WiFi + Cellular Space Gray w/AppleCare+ (Mid 2017)","https://www.amazon.com/iPad-Pro-512GB-Cellular-AppleCare/dp/B07DMB74M8/ref=sr_1_199?s=pc&ie=UTF8&qid=1540116356&sr=1-199&keywords=ipad","$ 1,399 11","",""
"Apple iPad Pro 12.9-inch 512GB Silver 2nd Generation Apple Pencil Bundle (Wi-Fi Only, Mid 2017) Newest Version","https://www.amazon.com/Apple-12-9-inch-Silver-Generation-Version/dp/B07D1G16Y1/ref=sr_1_200?s=pc&ie=UTF8&qid=1540116356&sr=1-200&keywords=ipad","$ 1,229 95","5 out of 5 stars",""
"iPad Pro MLMQ2CL/A (MLMQ2LL/A) 9.7-inch (32GB, Wi-Fi, Gold) 2016 Model","https://www.amazon.com/MLMQ2CL-MLMQ2LL-9-7-inch-Wi-Fi-Model/dp/B01DYKKN7W/ref=sr_1_201?s=pc&ie=UTF8&qid=1540116356&sr=1-201&keywords=ipad","$ 434 99","4.8 out of 5 stars","Tue, Oct 23"
"APPLE MPHH2LL/A iPad Pro with Wi-Fi + Cellular 256GB, 10.5"", Silver","https://www.amazon.com/APPLE-MPHH2LL-Wi-Fi-Cellular-Silver/dp/B071GGB854/ref=sr_1_202?s=pc&ie=UTF8&qid=1540116356&sr=1-202&keywords=ipad","","5 out of 5 stars",""
"Apple iPad Air 2 with 64GB WiFi + Cellular 9.7-Inch Tablet - Gold (Certified Refurbished)","https://www.amazon.com/Apple-iPad-Cellular-9-7-Inch-Tablet/dp/B011W6UA8C/ref=sr_1_203?s=pc&ie=UTF8&qid=1540116356&sr=1-203&keywords=ipad","","5 out of 5 stars",""
"Apple iPad Air 2 MH0W2LL/A 16GB Wi-Fi Gold","https://www.amazon.com/Apple-iPad-MH0W2LL-16GB-Wi-Fi/dp/B00OSKREVG/ref=sr_1_204?s=pc&ie=UTF8&qid=1540116356&sr=1-204&keywords=ipad","$ 432 99","4.5 out of 5 stars",""
"Apple 32GB iPad with Wi-Fi MB293LL/A","https://www.amazon.com/Apple-32GB-iPad-Wi-Fi-MB293LL/dp/B004D1SLJ4/ref=sr_1_205?s=pc&ie=UTF8&qid=1540116356&sr=1-205&keywords=ipad","","3 out of 5 stars",""
"Apple iPad Pro 12.9-inch 64GB 2nd Generation with Apple Pencil Bundle (Wi-Fi Only, Silver) Mid 2017","https://www.amazon.com/Apple-12-9-inch-Generation-Pencil-Bundle/dp/B07C6973TN/ref=sr_1_206?s=pc&ie=UTF8&qid=1540116356&sr=1-206&keywords=ipad","$ 949 99","",""
"Apple iPad Pro 9.7-inch Wi-Fi plus Cellular, 128GB, Rose Gold (Year: 2016)","https://www.amazon.com/Apple-9-7-inch-Wi-Fi-Cellular-128GB/dp/B01D90STIW/ref=sr_1_207?s=pc&ie=UTF8&qid=1540116356&sr=1-207&keywords=ipad","$ 585 99","4.6 out of 5 stars",""
"Apple iPad with Retina Display ME392LL/A (128GB, Wi-Fi, Black) 4th Generation (Certified Refurbished)","https://www.amazon.com/Apple-Display-Generation-Certified-Refurbished/dp/B079VHP5SP/ref=sr_1_208?s=pc&ie=UTF8&qid=1540116356&sr=1-208&keywords=ipad","$ 259 91","3.3 out of 5 stars","Wed, Oct 24"
"Apple iPad Mini 2 Retina Display Tablet 32GB, Wi-Fi, Silver (Certified Refurbished)","https://www.amazon.com/Apple-Retina-Display-Certified-Refurbished/dp/B00X8XAIW6/ref=sr_1_209?s=pc&ie=UTF8&qid=1540116356&sr=1-209&keywords=ipad","$ 189 99","",""
"Apple iPad Pro 12.9-Inch With Multi-Touch Retina Display (32GB, WiFi Only, Space Gray, 2732 x 2048 Resolution)","https://www.amazon.com/Apple-12-9-Inch-Multi-Touch-Display-Resolution/dp/B017VOM6JK/ref=sr_1_210?s=pc&ie=UTF8&qid=1540116356&sr=1-210&keywords=ipad","$ 899 11","4.5 out of 5 stars",""
"iPad 2 32GB Black BUNDLE: Comes with Case, Tempered Glass, Stylus Pen, Charger, 1 Year Warranty","https://www.amazon.com/iPad-32GB-Black-BUNDLE-Tempered/dp/B07DWRDJ2L/ref=sr_1_211?s=pc&ie=UTF8&qid=1540116356&sr=1-211&keywords=ipad","","",""
"Newest Flagship Apple iPad Pro 10.5-inch Retina Display with A10X Fusion Chip, 64GB, Wi-Fi, Battery Life up to 10 hrs, Rose Gold","https://www.amazon.com/Flagship-Apple-10-5-inch-Display-Battery/dp/B071GGB85K/ref=sr_1_212?s=pc&ie=UTF8&qid=1540116356&sr=1-212&keywords=ipad","$ 609 88","","Tue, Oct 23"
"Apple iPad Pro 12.9"" (256GB, Wi-Fi) - Space Gray","https://www.amazon.com/Apple-iPad-12-9-256GB-Wi-Fi/dp/B07BVZJW5Y/ref=sr_1_213?s=pc&ie=UTF8&qid=1540116356&sr=1-213&keywords=ipad","$ 939 00","1 out of 5 stars",""
"Apple iPad Pro 10.5 inch 256GB Factory Unlocked Space Gray (Wi-Fi + Cellular 4G LTE, Apple SIM Card) Mid 2017","https://www.amazon.com/Apple-256GB-Factory-Unlocked-Cellular/dp/B01LG9BGO2/ref=sr_1_214?s=pc&ie=UTF8&qid=1540116356&sr=1-214&keywords=ipad","","",""
"iPad Pro 12.9"" 512GB WiFi Space Gray MPKY2LL/A w/AppleCare+ (Mid 2017)","https://www.amazon.com/iPad-Pro-512GB-MPKY2LL-AppleCare/dp/B07DMBD1MP/ref=sr_1_215?s=pc&ie=UTF8&qid=1540116356&sr=1-215&keywords=ipad","$ 1,399 11","",""
"Apple iPad 9.7"" 6th Generation WiFi + Cellular (128GB, Silver) Certified Refurbished","https://www.amazon.com/Apple-Generation-Cellular-Certified-Refurbished/dp/B07H9G19TJ/ref=sr_1_216?s=pc&ie=UTF8&qid=1540116356&sr=1-216&keywords=ipad","$ 429 99","",""
"Latest Model Apple iPad A9 Chip 128GB -9.7-inch Retina Display (diagonal), A9 Chip with 64-bit Desktop-class Architecture, 8MP Camera with 1080p Video, Touch ID Fingerprint Sensor-Space Gray","https://www.amazon.com/Apple-Desktop-class-Architecture-Fingerprint-Sensor-Space/dp/B07BL5DLS1/ref=sr_1_217?s=pc&ie=UTF8&qid=1540116356&sr=1-217&keywords=ipad","$ 485 00","",""
"Apple iPad Mini 2 32 GB Apple A7 X2 1.3GHz 7.9"",Dark Gray (Certified Refurbished)","https://www.amazon.com/Apple-iPad-1-3GHz-Certified-Refurbished/dp/B07G8Y7DBD/ref=sr_1_218?s=pc&ie=UTF8&qid=1540116356&sr=1-218&keywords=ipad","","",""
"[Sponsored]
SIMPLEWAY iPad Case, iPad 2 3 4 Case, Shockproof Lightweight Convertible Handle Stand Kid-Proof Protection Cover Compatible with Apple iPad 2, iPad 3rd Gen, iPad 4th Generation Tablet, Green","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg10_1?ie=UTF8&adId=A0624784124KUZJR9MJ9H&url=https%3A%2F%2Fwww.amazon.com%2FSIMPLEWAY-Shockproof-Lightweight-Convertible-Protection%2Fdp%2FB01HUQ5LAU%2Fref%3Dsr_1_217_sspa%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116368%26sr%3D1-217-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116367&id=3829452787985820&widgetName=sp_atf_next","$ 16 99","4.3 out of 5 stars",""
"[Sponsored]
Bobj Rugged Case for iPad 2017 5th Generation 9.7 - BobjGear Custom Fit - Patented Venting - Sound Amplification - BobjBounces Kid Friendly (NOT for iPad 2018, iPad Pro 10.5) (Terrific Turquoise)","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg10_2?ie=UTF8&adId=A0803859335YLUA0704BA&url=https%3A%2F%2Fwww.amazon.com%2FBobj-Rugged-Case-iPad-Generation%2Fdp%2FB07168YHZ2%2Fref%3Dsr_1_218_sspa%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116368%26sr%3D1-218-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116367&id=3829452787985820&widgetName=sp_atf_next","$ 19 95","4.5 out of 5 stars",""
"Apple iPad Air 16GB Silver Wi-Fi A1474","https://www.amazon.com/Apple-iPad-Silver-Wi-Fi-A1474/dp/B01BSBDNW6/ref=sr_1_219?s=pc&ie=UTF8&qid=1540116368&sr=1-219&keywords=ipad","","",""
"iPad Pro MM172LL/A 9.7-inch (32GB, Wi-Fi, Rose Gold) 2016 Model (Certified Refurbished)","https://www.amazon.com/MM172LL-9-7-inch-Wi-Fi-Certified-Refurbished/dp/B07D4PFJ7X/ref=sr_1_220?s=pc&ie=UTF8&qid=1540116368&sr=1-220&keywords=ipad","$ 395 95","","Tue, Oct 23"
"Apple iPad Pro 12.9 Inch 512GB Factory Unlocked Gold (2nd Generation, Wi-Fi + Cellular 4G LTE, Apple SIM Card) Mid 2017","https://www.amazon.com/Apple-Factory-Unlocked-Generation-Cellular/dp/B01ES4N3YS/ref=sr_1_221?s=pc&ie=UTF8&qid=1540116368&sr=1-221&keywords=ipad","$ 1,349 11","3.4 out of 5 stars",""
"Apple MLYR2LL/A iPad Pro 9.7 Wi-Fi Cellular 32GB, Rose, Verizon","https://www.amazon.com/Apple-MLYR2LL-Wi-Fi-Cellular-Verizon/dp/B01HB5RBF8/ref=sr_1_222?s=pc&ie=UTF8&qid=1540116368&sr=1-222&keywords=ipad","","",""
"Apple iPad 2018 32GB - WiFi and Cellular - Verizon - Space Gray","https://www.amazon.com/Apple-iPad-2018-32GB-Cellular/dp/B07D3BZLFR/ref=sr_1_223?s=pc&ie=UTF8&qid=1540116368&sr=1-223&keywords=ipad","$ 439 00","5 out of 5 stars",""
